metric,metric_latex,unit,n_trips,mean,median,sample_std,q1,q3,iqr_width,ci_low,ci_high
ICEV CO2 MAE,ICEV CO$_2$ MAE,g/s,13,0.427471832594742,0.22109251405809688,0.41614391792351324,0.1291139672327262,0.6905099016165599,0.5613959343838337,0.22988807810416229,0.6589870383735432
EV direct CO2 MAE,EV direct CO$_2$ MAE,g/s,14,0.01752667664522332,0.0171982690061996,0.004632330673512553,0.016169828537393696,0.020507322245429064,0.004337493708035368,0.015131602961059172,0.019904302120189888
EV proxy CO2 MAE,EV proxy CO$_2$ MAE,g/s,14,0.027316321237588054,0.02818692835566744,0.005625021218053326,0.02430191231541172,0.030483129895267833,0.006181217579856114,0.02443356250771348,0.03006299672825216
Proxy - direct,Proxy $-$ direct,g/s,14,0.009789644592364736,0.007639066603428828,0.005540122789584573,0.006189355612292294,0.013623966216250427,0.007434610603958133,0.007110288451659199,0.012678671901963973
Torque MAE,Torque MAE,Nm,14,4.050377531272908,3.9102303775133604,0.537121906273014,3.7288693854550026,4.160699672647947,0.4318302871929447,3.80054312473034,4.339193902467713
Throttle MAE,Throttle MAE,%,14,3.7779917235068656,2.935241769983562,2.544902073429936,2.621499546221872,3.075403079611113,0.4539035333892407,2.7720228541778833,5.282606601932865
