row_type,dataset,display_name,split_seed,training_seed,best_epoch,best_validation_mse,test_mae,test_rmse,test_r2,train_windows,validation_windows,test_windows,statistic,mae,rmse,r2,baseline_model,baseline_mae,baseline_rmse,baseline_r2,mean_mae_minus_baseline,all_windows_used,split_fixed,training_only_scaler,checkpoint_policy,test_set_used_for_selection
summary,qx50,Infiniti QX50,20260801,,,,,,,,,,sample_sd,0.0036553399263312305,0.004786431852501388,0.0012419850467526292,random_forest,0.12850531803911158,0.22372521923505742,0.9749929477573784,,True,True,True,minimum_validation_mse,False
summary,qx50,Infiniti QX50,20260801,,,,,,,,,,median,0.15606216589404004,0.2593052420222747,0.9664065034364465,random_forest,0.12850531803911158,0.22372521923505742,0.9749929477573784,,True,True,True,minimum_validation_mse,False
summary,qx50,Infiniti QX50,20260801,,,,,,,,,,min,0.15007520442988115,0.2539093404401561,0.9650107036797646,random_forest,0.12850531803911158,0.22372521923505742,0.9749929477573784,,True,True,True,minimum_validation_mse,False
summary,qx50,Infiniti QX50,20260801,,,,,,,,,,max,0.15876343458473943,0.2646374455522623,0.9677900558759603,random_forest,0.12850531803911158,0.22372521923505742,0.9749929477573784,,True,True,True,minimum_validation_mse,False
summary,blazer,Chevrolet Blazer,20260801,,,,,,,,,,mean,0.13757026076688555,0.23398074141502137,0.777367879166835,,,,,,True,True,True,minimum_validation_mse,False
summary,blazer,Chevrolet Blazer,20260801,,,,,,,,,,sample_sd,0.003401025367138339,0.0070429563907846195,0.013483629421289556,,,,,,True,True,True,minimum_validation_mse,False
summary,blazer,Chevrolet Blazer,20260801,,,,,,,,,,median,0.13710105197798422,0.23387820215988292,0.7777240817155262,,,,,,True,True,True,minimum_validation_mse,False
summary,blazer,Chevrolet Blazer,20260801,,,,,,,,,,min,0.13330637784998628,0.22569989935495455,0.7566705987588049,,,,,,True,True,True,minimum_validation_mse,False
summary,blazer,Chevrolet Blazer,20260801,,,,,,,,,,max,0.14184046649556656,0.24470386780562942,0.7929974714145248,,,,,,True,True,True,minimum_validation_mse,False
summary,pacifica,Chrysler Pacifica,20260801,,,,,,,,,,mean,0.9135945530160547,1.4454612664664492,0.7022213340066384,,,,,,True,True,True,minimum_validation_mse,False
summary,pacifica,Chrysler Pacifica,20260801,,,,,,,,,,sample_sd,0.09962650194364173,0.1360513986362836,0.05722890192536947,,,,,,True,True,True,minimum_validation_mse,False
summary,pacifica,Chrysler Pacifica,20260801,,,,,,,,,,median,0.8787014785105143,1.4117894014919667,0.7179322968082125,,,,,,True,True,True,minimum_validation_mse,False
summary,pacifica,Chrysler Pacifica,20260801,,,,,,,,,,min,0.8249572001059464,1.3066428531035794,0.6126214289230991,,,,,,True,True,True,minimum_validation_mse,False
summary,pacifica,Chrysler Pacifica,20260801,,,,,,,,,,max,1.0798165841185432,1.654478137021819,0.7583830919544725,,,,,,True,True,True,minimum_validation_mse,False
