dataset,display_name,task,seed,epochs,batch_size,train_windows,validation_windows,test_windows,train_trips,validation_trips,test_trips,best_epoch,best_validation_mse,final_validation_mse,selected_mae,selected_rmse,selected_r2,last_epoch_mae,last_epoch_rmse,last_epoch_r2,trip_mean_mae,trip_median_mae,trip_sample_std,trip_iqr_q1,trip_iqr_q3,bootstrap_ci_low,bootstrap_ci_high,checkpoint_file,checkpoint_sha256
ev,BMW i3,emissions_model,20260801,20,512,691930,216951,185212,44,12,14,14,0.0011289948008066056,0.0015489741157333726,0.016999224481029983,0.030245075731819587,0.9554395588945692,0.018080285603316076,0.035057247829506505,0.9401318599019318,0.017579486859696253,0.01726866140961647,0.004633645731115497,0.016214720904827118,0.020541180856525898,0.015274022143733287,0.01991792278464085,ev_emissions_best.pt,055d8f143a6ed090d9905e77fb4ddc5bd5509ffab87edf861a84b6d91320716a
qx50,Infiniti QX50,emissions_model,20260801,20,512,227341,74676,74790,21,6,7,19,0.053031886070591575,0.05309589160638691,0.15130748764791657,0.25643458527995644,0.9671461845880379,0.15236629776103175,0.25733075116459403,0.9669161538763555,0.1798102025474821,0.13350456953048706,0.07781126206749313,0.12893390655517578,0.23548369854688644,0.12853905095585755,0.23427490469600468,qx50_emissions_best.pt,82e1c9934e078b39c2f4ca79b85d37e2eb6f2bd0293ac11fabd4049d63720774
blazer,Chevrolet Blazer,emissions_model,20260801,20,512,36573,8441,30997,4,1,2,17,0.059771686915946844,0.061215933515144004,0.13710105197798422,0.23035043839979485,0.7843790247895439,0.14013464203329995,0.23336242298995058,0.7787033852340933,0.1370205655694008,0.1370205655694008,0.0009858042499576837,0.136672031134367,0.13736910000443459,0.1363234966993332,0.13771763443946838,blazer_emissions_best.pt,795da5f17f4a0accc63dd7d894f47a09ee7ecc9d065d4ae9563f362ed8be76a9
pacifica,Chrysler Pacifica,emissions_model,20260801,20,512,103882,42619,37303,12,3,4,2,0.9618779544185215,1.7993567005170807,0.9245486668558301,1.4117891575619599,0.7179323942799328,1.4726812591126077,2.4717856766396338,0.13536034395055263,0.9882494956254959,1.0338003635406494,0.24324873256796264,0.8338612169027328,1.1881886422634125,0.7878789603710175,1.1886200308799744,pacifica_emissions_best.pt,4df95d487b8e2e7d91f557cc90df55e673f083339fadd077da5f8c7cc545a2c9
ev,BMW i3,ev_feature_model,20260801,20,512,691930,216951,185212,44,12,14,19,44.260651583204535,44.3317801991166,4.175848269877749,7.664236882472738,0.928868083346303,4.145433239046432,7.631393836085334,0.9294764109114416,3.914184604372297,3.407766819000244,1.4469536907937322,3.2326417565345764,3.6501129269599915,3.3425206035375594,4.76213367496218,ev_feature_best.pt,0a110c7be32c35895e559ea1fcc07cbaea739fc3cf334695b119619a2ed96272
