model,validation_torque_mae,validation_throttle_mae,validation_mean_output_mae,test_torque_window_mae,test_throttle_window_mae,test_torque_trip_mean_mae,test_torque_ci_low,test_torque_ci_high,test_throttle_trip_mean_mae,test_throttle_ci_low,test_throttle_ci_high,selected
training_mean,22.6009521484375,16.023075103759766,19.312013626098633,24.177043914794922,15.446175575256348,24.034530639648438,22.1377690587725,25.712055454935346,15.746232782091413,14.690038980756487,16.789286947250364,False
ridge,5.225667476654053,8.545970916748047,6.88581919670105,5.352072238922119,8.201221466064453,5.3003248492309025,4.824433258389723,5.758445617693023,8.35987822498594,7.0740685986980495,9.718408282416208,False
hist_gb,3.835362195968628,3.701770067214966,3.768566131591797,4.280949592590332,3.606841564178467,4.225436278751918,3.9959700219631195,4.463045446288926,3.631400897900818,2.8336228263962864,4.908790204625242,False
random_forest,3.8305249214172363,3.680676192045212,3.755600556731224,4.110316176068083,3.606176752387029,4.05845938260987,3.8381738273323682,4.2926082812794455,3.671733114173661,2.823544203031293,5.01658473109163,True
mlp,4.589716911315918,4.311507701873779,4.450612306594849,4.955806732177734,4.444792747497559,4.894932746887207,4.589055707795279,5.224143217972346,4.558017237050193,3.6588023056302755,5.721930840761048,False
